time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-23 00:00:00+00:00,9,8,96,26
2023-01-24 00:00:00+00:00,12,10,103,29
2023-01-25 00:00:00+00:00,5,3,48,22
2023-01-26 00:00:00+00:00,14,7,51,27
2023-01-27 00:00:00+00:00,7,4,137,30
2023-01-28 00:00:00+00:00,9,6,59,29
2023-01-29 00:00:00+00:00,18,13,123,46
2023-01-30 00:00:00+00:00,15,12,120,39
2023-01-31 00:00:00+00:00,7,5,91,40
2023-02-01 00:00:00+00:00,14,12,99,44
2023-02-02 00:00:00+00:00,21,13,109,47
2023-02-03 00:00:00+00:00,8,6,75,28
2023-02-04 00:00:00+00:00,7,5,73,23
2023-02-05 00:00:00+00:00,7,6,46,23
